Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names,Keep,Reason
production,co-test-lpha1,,,,,FALSE,
production,m2m,PRODUCT,Grouped Advanced Plan for Mothers to Mothers - Pay Monthly,True,,TRUE,production domain
production,commcarehq-academy,PRODUCT,CommCare Paused Edition,,,FALSE,
production,tcrhcc-sti,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,gpm-ccc-tech-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,us-monkeypox-sandbox,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,testpenda,,,,,FALSE,
production,co-weld,,,,,FALSE,
production,ny-uat-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,,FALSE,
production,campagne-niger-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,,campagne-niger,FALSE,
production,bf-vaccine-delivery-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,m2mdemo,PRODUCT,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,c-wins-chc-live,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,co-carecoordination-train,IMPLEMENTATION,CommCare Paused Edition,True,,FALSE,
production,wv-sahel-car-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,co-dev,IMPLEMENTATION,CommCare Paused Edition,True,"https://staging.commcarehq.org/a/covid-co-staging/,co-support,co-staging,co-abt,co-sandbox,co-performance",FALSE,
production,co-sanmiguel,,,,,FALSE,
production,kenya-vca,PRODUCT,CommCare Paused Edition,,,FALSE,
production,ny-lewis-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
production,swat,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,co-rioblanco,,,,,FALSE,
production,co-training,,,,,FALSE,
production,inddex-upload-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,camnafaw,PRODUCT,CommCare Paused Edition,True,,FALSE,
production,vectorlink-benin,PRODUCT,CommCare Paused Edition,,,FALSE,
production,ccc-tech2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,nj-doas,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,trenton-health,FALSE,
production,philly-covid19-test,,,,,FALSE,
production,commcare-superset,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,af-test,NOT_SET,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,analytics-test-kermit,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,alafiacomm-training,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,ochsner-health-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,partnerships-sandbox,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,hungry-hippo-david,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,ush-repeat-group-training,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,em-sscs,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,us-monkeypox-template,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"us-monkeypox-qa,us-monkeypox-sandbox,tc-monkeypox-staging,ak-monkeypox-staging,us-monkeypox-demo",FALSE,
production,https,,,,,FALSE,
production,tcb-2022-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,jason-test4,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,campaign-botswana,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,inddex-vietnam-lang-vie,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,TRUE,has upstream keep
production,nj-covid-hudson,,,,,FALSE,
production,impact-network,PRODUCT,CommCare Pro Edition - Pay Annually,True,,TRUE,production domain
production,sctpn,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,demos-solutions,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,chadbrochill,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,tech-onboarding-day-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,nj-covid-monmouth,,,,,FALSE,
production,pivot,PRODUCT,Discounted Advanced Plan for PivotWorks - Pay Annually,,,FALSE,
production,polio-kenya,INTERNAL,Dimagi Only CommCare Enterprise Edition,,https://ujira.health.go.ke/a/test/,FALSE,
production,ush-web-user-ga,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,pop-health-surveillance,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,polio-cameroon-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"campagne-cameroun,polio-cameroon",TRUE,has downstream keep
production,co-bent,,,,,FALSE,
production,co-kiowa,,,,,FALSE,
production,grougu-prod,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,ccc-chc-ruwoyd-2024-25,PRODUCT,CommCare Paused Edition,,,FALSE,
production,us-monkeypox-qa,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,freq-utilizers,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,uss-workflow-templates,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
production,inddex-multilingual,PRODUCT,CommCare Paused Plan,,"jfuller-inddex-push-test,inddex-upload-test-2,inddex-upload-test,test-push-caktus,inddex-multi-vn",FALSE,
production,ny-cattaraugus-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
production,ny-schuyler-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
production,livhu-load-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,sudcare,PRODUCT,CommCare Paused Edition,,,FALSE,
production,pbf-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,test-lang-inddex,PRODUCT,CommCare Community Edition (With ERM),,,FALSE,
production,kaleb-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,inddex-staging,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
production,nj-covid-staging,,,,,FALSE,
production,ceshhar-zim,IMPLEMENTATION,CommCare Advanced Edition - Pay Annually,True,,TRUE,production domain
production,practice-space-4,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
