country, type, prefix, voice price, sms price
Afghanistan,Fixed Line,93,0.5139,0.02
Afghanistan,Mobile: Roshan Mobile,9379,0.3943,0.02
Afghanistan,Mobile: Other,937,0.4206,0.02
Albania,Fixed Line,355,0.1056,0.085
Albania,Tirana Fixed Line,35542,0.063,0.085
Albania,Fixed Line: Other,355424,1.0916,0.085
Albania,Fixed Line: Other,355425,1.0916,0.085
Albania,Mobile: Eagle,35567,0.484,0.085
Albania,Mobile: Amc Mobile,35568,0.4568,0.085
Albania,Mobile: Vodafone,35569,0.4568,0.085
Algeria,Fixed Line,213,0.1672,0.08
Algeria,Fixed Other,2131,0.2553,0.08
Algeria,Mobile: Wataniya,21355,0.5792,0.08
Algeria,Mobile: Other,21366,0.2984,0.08
Algeria,Mobile: Other,21369,0.2984,0.08
Algeria,Mobile: Orascom,21377,0.5773,0.08
Algeria,Mobile: Orascom,21379,0.5773,0.08
American Samoa,Fixed and Mobile,1684,0.101,0.045
Andorra,Fixed Line,376,0.0762,0.02
Andorra,Mobile,3763,0.484,0.02
Andorra,Mobile,3764,0.484,0.02
Andorra,Mobile,3766,0.484,0.02
Angola,Fixed Line,244,0.2047,0.02
Angola,Mobile,24491,0.2666,0.02
Angola,Mobile,24492,0.2666,0.02
Angola,Mobile,24493,0.2666,0.02
Anguilla,Fixed Line,1264,0.1942,0.03
Anguilla,Mobile: Digicel,1264581,0.339,0.03
Anguilla,Mobile: Digicel,1264582,0.339,0.03
Anguilla,Mobile: Digicel,1264583,0.339,0.03
Anguilla,Mobile: Digicel,1264584,0.339,0.03
Anguilla,Mobile: Other,1264235,0.3753,0.03
Anguilla,Mobile: Other,1264469,0.3753,0.03
Anguilla,Mobile: Other,1264476,0.3753,0.03
Anguilla,Mobile: Other,1264536,0.3753,0.03
Anguilla,Mobile: Other,1264537,0.3753,0.03
Anguilla,Mobile: Other,1264538,0.3753,0.03
Anguilla,Mobile: Other,1264539,0.3753,0.03
Anguilla,Mobile: Other,1264543,0.3753,0.03
Anguilla,Mobile: Other,1264724,0.3753,0.03
Anguilla,Mobile: Other,1264729,0.3753,0.03
Anguilla,Mobile: Other,1264772,0.3753,0.03
