"Place","Population"
"NEW YORK",8392156
"LOS ANGELES",3831868
"CHICAGO",2851316
"HOUSTON",2269711
"PHOENIX",1610237
"PHILADELPHIA",1558435
"WASHINGTON",1445161
"SAN ANTONIO",1374720
"DALLAS",1348727
"SAN DIEGO",1310703
"COLUMBUS",1077501
"JACKSONVILLE",972805
"SAN JOSE",965333
"DETROIT",915441
"AUSTIN",820135
"SAN FRANCISCO",816271
"INDIANAPOLIS",807584
"HEMPSTEAD",772621
"CHARLOTTE",728079
"FORT WORTH",727575
"JACKSON",715563
"PORTLAND",687947
"MEMPHIS",681995
"ARLINGTON",675904
"BOSTON",662429
"CENTER",661462
"BALTIMORE",642572
"KANSAS CITY",625508
"EL PASO",624861
"DENVER",621272
"SEATTLE",617334
"NASHVILLE-DAVIDSON",605473
"MILWAUKEE",604133
"LAS VEGAS",581330
"SPRINGFIELD",576127
"WAYNE",575577
"LOUISVILLE-JEFFERSON",566503
"OKLAHOMA CITY",560332
"MIAMI",556299
"ATLANTA",550821
"TUCSON",548555
"MADISON",543374
"ALBUQUERQUE",528497
"CLEVELAND",526015
"FRANKLIN",522261
"AURORA",519096
"LONG BEACH",517567
"BROOKHAVEN",511604
"UNION",481539
"FRESNO",479921
"GLENDALE",476749
"OAKLAND",472259
"SACRAMENTO",467185
"MESA",462957
"RICHMOND",460305
"MONROE",436607
"WARREN",436476
"VIRGINIA BEACH",433575
"NEWARK",416534
"LAKEWOOD",408504
"RALEIGH",408192
"CONCORD",403535
"COLORADO SPRINGS",399827
"ROCHESTER",395364
"TULSA",389625
"MINNEAPOLIS",387494
"PERRY",383815
"SALEM",382868
"HONOLULU",374701
"RIVERSIDE",374297
"LANCASTER",372923
"WICHITA",372186
"CLINTON",366995
"LAWRENCE",364367
"ST LOUIS",363730
"FAIRFIELD",357459
"NEW ORLEANS",354850
"COLUMBIA",352430
"TAMPA",344001
"CINCINNATI",342214
"SANTA ANA",340340
"ANAHEIM",337896
"ISLIP",337565
"HENDERSON",328584
"BAKERSFIELD",326146
"HARRISON",325860
"TOLEDO",324221
"MONTGOMERY",321195
"BUFFALO",319711
"PITTSBURGH",311647
"MIDDLETOWN",309813
"STOCKTON",309163
"FAYETTEVILLE",306729
"OYSTER BAY",302564
"FREMONT",302173
