Column Name,Type,Case Reference,Calculation,Notes
Commcare UUID,Primary Case,self,caseid,
eNikshay ID (Person),Related Case,person,person_id,
eNikshay Episode ID,Primary Case,self,episode_id,
Nikshay ID,Primary Case,self,nikshay_id,
Manual Nikshay ID,Primary Case,self,manual_nikshay_id,
Name,Related Case,person,name,
Episode Type,Primary Case,self,episode_type,
Date of Diagnosis,Primary Case,self,date_of_diagnosis,
DRTB Site,N/A,N/A,N/A,"See column ""Treatment Initiating DRTB Centre"""
Diagnosing Facility - State,N/A,N/A,N/A,"This is not available for this table. It could be looked up from the user and facility master tables, using the ""diagnosing facility ID"" as the key/lookup value."
Diagnosing Facility - District,N/A,N/A,N/A,"This is not available for this table. It could be looked up from the user and facility master tables, using the ""diagnosing facility ID"" as the key/lookup value."
Diagnosing Facility - TU,N/A,N/A,N/A,"This is not available for this table. It could be looked up from the user and facility master tables, using the ""diagnosing facility ID"" as the key/lookup value."
Diagnosing Facility - PHI,N/A,N/A,N/A,"This is not available for this table. It could be looked up from the user and facility master tables, using the ""diagnosing facility ID"" as the key/lookup value."
Diagnosing Facility ID,Primary Case,self,diagnosing_facility_id,This is the UUID of the facility in CommCare.
Site (EP/P),Related Case,occurrence,disease_classification,
EP site,Related Case,occurrence,site_choice,
EP site (free text),Related Case,occurrence,site_detail,
Transfer In?,Primary Case,self,transfer_in,
Health Facility for Treatment Initiation- State,N/A,N/A,N/A,"This is not available for this table. It could be looked up from the user and facility master tables, using the column ""Health Facility for Treatment Initiation- PHI' as the key/lookup value."
Health Facility for Treatment Initiation- District,N/A,N/A,N/A,"This is not available for this table. It could be looked up from the user and facility master tables, using the column ""Health Facility for Treatment Initiation- PHI' as the key/lookup value."
Health Facility for Treatment Initiation- TU,N/A,N/A,N/A,"This is not available for this table. It could be looked up from the user and facility master tables, using the column ""Health Facility for Treatment Initiation- PHI' as the key/lookup value."
Health Facility for Treatment Initiation- PHI,Primary Case,self,treatment_initiating_facility_id,This is the UUID of the facility in CommCare.
Treatment Initiating DRTB Centre,Primary Case,self,treatment_initiating_drtb_center_id,This is the UUID of the facility in CommCare.
Current Treating Facility - State,N/A,N/A,N/A,"This is not available for this table. It could be looked up from the facility master table, using the ""current owner - district"" as the key/lookup value, but will not reflect if the facility hierarchy changed over time (although we don't expect it to ever have changed)."
Current Treating Facility - District,Custom,custom,"if(self.closed = false AND self.is_active = 'yes', person.dto_id, ''))",This column is only populated if this is an open and active episode
Current Treating Facility - District Name,Custom,custom,"if(self.closed = false AND self.is_active = 'yes', person.dto_name, ''))",This column is only populated if this is an open and active episode
Current Treating Facility - TU,Custom,custom,"if(self.closed = false AND self.is_active = 'yes', person.tu_id, ''))",This column is only populated if this is an open and active episode
Current Treating Facility - TU Name,Custom,custom,"if(self.closed = false AND self.is_active = 'yes', person.tu_name, ''))",This column is only populated if this is an open and active episode
Current Treating Facility - PHI,Custom,custom,"if(self.closed = false AND self.is_active = 'yes', person.owner_id, ''))",This column is only populated if this is an open and active episode
Current Owner - PHI Name,Custom,custom,"if(self.closed = false AND self.is_active = 'yes', person.phi_name, ''))",This column is only populated if this is an open and active episode
Episode closed?,Primary Case,self,closed,
Episode Close Reason (from Remove Person),Primary Case,self,close_reason,"This only represents values if the episode was closed through Remove Person. If it is blank but episode is closed, it is assumed the episode wasn't removed through Remove Person."
Episode Active?,Primary Case,self,is_active,
Type of Patient,Primary Case,self,patient_type_choice,
Initiated on DRTB Treatment,Primary Case,self,treatment_initiated,
Supported by RNTCP?,N/A,N/A,N/A,This information was not stored to this data model
Current Treatment status,N/A,N/A,N/A,"See ""Treatment (Initiation) Status"" column. For the current treatment status, one can look at a conjunction of the following columns: Initiated on first line treatment, Treatment outcome, Diagnosing Facility ID, Health Facility for Treatment Initiation- PHI (Treatment Initiating Facility) , and Current Treating Facility - PHI"
Treatment (Initiation) Status,Primary Case,self,treatment_status,This is the programmatic definition of 'treatment status' which is actually treatment initiation status
Date of treatment initiation,Primary Case,self,treatment_initiation_date,
Treatment Regimen,Primary Case,self,treatment_regimen,
Weight,Primary Case,self,weight,
Height,Primary Case,self,height,
Weight Band,Primary Case,self,weight_band,
Drug Prescribed,Primary Case,self,drugs_prescribed,
DRTB Center Meeting Information,Primary Case,self,drtb_meetings_history,"Output displays history of DRTB centre meetings and includes meeting date, decision, and duration of stay for each meeting."
Date,N/A,N/A,N/A,This information is provided in the 'drtb_meetings_history' value.
Decision,N/A,N/A,N/A,This information is provided in the 'drtb_meetings_history' value.
Duration of stay,N/A,N/A,N/A,This information is provided in the 'drtb_meetings_history' value.
Type of treatment adherence,Primary Case,self,adherence_type_choice,
Type of treatment adherence - (Other - Specify),Primary Case,self,adherence_type_other_detail,"If 'other' is selected as adherence type choice, a free text option appears"
Specify ICT System,Primary Case,self,adherence_type_ict_choice,Split ICT system choice into columns. This is the choice select question.
Other ICT System,Primary Case,self,adherence_type_ict_other_detail,Split ICT system choice into columns. This is the free text option.
Treatment Supporter Designation,Primary Case,self,treatment_supporter_designation,
Treatment Supporter First Name,Primary Case,self,treatment_supporter_first_name,Split treatment supporter name into first and last name outputs.
Treatment Supporter Last Name,Primary Case,self,treatment_supporter_last_name,Split treatment supporter name into first and last name outputs.
Treatment Supporter Mobile Number,Primary Case,self,treatment_supporter_mobile_number,
Reason for Testing,Primary Case,self,rft_general,
Reason for Testing (Extended DST),Primary Case,self,rft_drtb_diagnosis_ext_dst,
HIV status,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
"Date of HIV Test, if Reactive & Non - Reactive",N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
"PID Number, if any",N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
CPT Initiated?,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
"Date of CPT Initiation?, if yes",N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
ART Initiated?,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Date of ART Initiation?,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
"ART Number, if any",N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
"ART Centre Name, if any",N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
"HIV Testing offered?, if HIV status is Unknown",N/A,N/A,N/A,This information was not stored to this data model
Diabetic Status,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
RBS Level,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
FBS Level,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Initiated on Anti-diabetes treatment?,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Date of anti-diabetes treatment initiation,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Anti diabetes treatment program number,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
"Diabetes testing offered?, if Diabetes Status is Unknown",N/A,N/A,N/A,This information was not stored to this data model
Other Comorbidity,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
"Specify Other Co-morbidity, if selected as Yes",N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Current Tobacco user?,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Tobacco Type?,N/A,N/A,N/A,This information was not stored to this data model
Linked to cessation program,N/A,N/A,N/A,This information was not stored to this data model
History of Alcohol intake,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Linked for deaddiction Program?,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Has Nikshay ID?,N/A,N/A,N/A,"See column 'Nikshay ID' and column 'Manual Nikshay ID' in conjunction. If 'Manual Nikshay ID' is 'yes', then the value in 'Nikshay ID' would have been entered by user."
Enter Nikshay ID,N/A,N/A,N/A,"See column 'Nikshay ID' and column 'Manual Nikshay ID' in conjunction. If 'Manual Nikshay ID' is 'yes', then the value in 'Nikshay ID' would have been entered by user."
Has TB Notification Number for current episode,N/A,N/A,N/A,This is not available for this table. It could be deduced by whether or not the TB number is populated or not.
Enter TB Number,Primary Case,self,tb_number,
Marital Status,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Socio Economic Status,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Name & Address of Contact Person,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Mobile/ Landline Number of Contact Person,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Predominant Symptoms,Primary Case,self,predominant_symptom,
"Duration of symptoms in Days, if any",Primary Case,self,symptom_duration,
History of ATT greater than one month?,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Number of health care providers visited before diagnosis for current episodes,N/A,N/A,N/A,This information was not stored to this data model
Months of Treatment undertaken,N/A,N/A,N/A,This information was not stored to this data model
Months since treatment for last episode,N/A,N/A,N/A,This information was not stored to this data model
Source of treatment for previous regimen,N/A,N/A,N/A,This information was not stored to this data model
Key population,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Occupation,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Current Address - State,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Current Address - District,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Current Address - Block/ Taluka/ Mandal,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Current Address - Village/ Town/ City,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Current Address - Address First Line,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Current Address - Postal code,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Current Address - Landmark,N/A,N/A,N/A,This property is linked to the person case. Please refer to the person table for this information.
Initiate Continuation Phase?,Primary Case,self,cp_initiated,
Date of CP Initiation,Primary Case,self,cp_initiation_date,
Adverse drug reaction history,Primary Case,self,adr_history,"This property includes the date of first adverse drug reaction, the type of reaction, any notes on the reaction, date of any remedial action, type of remedial action, and duration of management for adverse events in days."
"Date of first reaction/ symptom, if any",N/A,N/A,N/A,See 'adr_history' property for this information.
"Specify reaction, if any",N/A,N/A,N/A,See 'adr_history' property for this information.
"Note on Reactions, if any",N/A,N/A,N/A,See 'adr_history' property for this information.
Any Action taken,N/A,N/A,N/A,See 'adr_history' property for this information.
Date of remedial action,N/A,N/A,N/A,See 'adr_history' property for this information.
"Specify action, if any",N/A,N/A,N/A,See 'adr_history' property for this information.
Duration of management for adverse events (Days),N/A,N/A,N/A,See 'adr_history' property for this information.
Treatment Outcome,Primary Case,self,treatment_outcome,
