Column Name,Column Status,Notes,Type,Case Reference,Calculation
eNikshay ID (Person),Column as requested,,Related Case,person,person_id
eNikshay Episode ID,Column as requested,,Primary Case,self,episode_id
Nikshay ID,Column as requested,,Primary Case,self,nikshay_id
Manually entered Nikshay ID?,Column added,"This was defaulted to ""yes"" for PMDT migrated data",Primary Case,self,manual_nikshay_id
PMDT TB No,Column as requested,,Primary Case,self,pmdt_tb_number
Name,Column as requested,,Related Case,person,name
Age,Column as requested,,Related Case,person,age
Gender,Column as requested,,Related Case,person,sex
Current/Last Address,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Current/Last Pincode,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Current/Last Mobile No,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Episode Type,Column as requested,,Primary Case,self,episode_type
Date of Diagnosis,Column as requested,,Primary Case,self,date_of_diagnosis
Reason for Testing,Column as requested,,Primary Case,self,rft_general
Criteria,Column as requested,,Primary Case,self,rft_drtb_diagnosis
"Criteria (if ""Extended DST"")",Column added,,Primary Case,self,rft_drtb_diagnosis_ext_dst
HIV Status,Column moved or unavailable,"Refer to ""Person"" sheet for details",N/A,N/A,N/A
Transfer In?,Column as requested,,Primary Case,self,transfer_in
Type of Patient,Column as requested,,Primary Case,self,patient_type_choice
Type of Patient (if other),Column added,,Primary Case,self,patient_type_detail
Diagnosing Facility (Lab) id,Column modified,"added ""(Lab) id"". This will generate the id for the lab which is the ""testing facility""",Primary Case,self,diagnosis_lab_facility_id
Owning facility id at time of diagnosis,Column added,"Added this column. This will reflect the owning facility id, at the time of diagnosis.",Primary Case,self,diagnosing_facility_id
Date of Referral to the DRTB Centre,Column added,Added this column,Primary Case,self,date_referral_to_drtb_center
Treatment initiating DRTB Centre id,Column added,This column will be a reflection of the id of the treatment initiation facility (DRTB Centre).,Primary Case,self,treatment_initiating_drtb_center_id
Treatment initiated,Column added,"Added this column. This reflects whether treatment was initiated or not. The value ""yes_phi"" represents treatment initiation in the public sector",Primary Case,self,treatment_initiated
Date of Treatment Initiation,Column as requested,,Primary Case,self,treatment_initiation_date
Whether episode is active,Column added,"Added this column as a proxy for whether or not currently undergoing treatment. If the episode is currently active and if treatment was initiated, it can be assumed that the person is undergoing treatment in the eNikshay districts",Primary Case,self,is_active
Currently Undergoing Treatment Y/N,Column moved or unavailable,"Refer to column ""Treatment initiated""",N/A,N/A,N/A
PMDT TB Number,Column moved or unavailable,"Repeat of column ""PMDT TB No"". Not re-populating.",N/A,N/A,N/A
Treatment Regimen,Column as requested,,Primary Case,self,treatment_regimen
Weight,Column as requested,,Primary Case,self,weight
Height,Column as requested,,Primary Case,self,height
Weight Band,Column as requested,,Primary Case,self,weight_band
Drugs Prescribed,Column as requested,,Primary Case,self,drugs_prescribed
Dosage of Drugs Prescribed,Column as requested,,Primary Case,self,dosage_display
Date of DRTB Center Meeting,Column moved or unavailable,"This can be referred to, in column ""Decision of DRTB center Meeting""",N/A,N/A,N/A
Decision of DRTB center Meeting,Column modified,Will provide the history of the DRTB Committee decisions,Primary Case,self,drtb_meetings_history
Decision,Column moved or unavailable,"This is the same as column ""Decision of DRTB center Meeting""",N/A,N/A,N/A
Duration of Stay,Column moved or unavailable,This property is not saved,N/A,N/A,N/A
Created by Nikshay (DSTB) Migration,Column added,"If the value is true, the person was created by the Nikshay DSTB migration. For all other values, the person was not created by the Nikshay DSTB migration.",Primary Case,self,migration_created_case
Created by Excel PMDT (DRTB) Migration,Column added,"If value is pmdt_excel, the person was created by the PMDT excel migration. For all other values, the person was not created by the PMDT excel migration.",Related Case,person,migration_type
