Column Name,Column Status,Notes,Type,Case Reference,Calculation
Commcare UUID,Column as requested,,Custom,custom,self.meta.caseid
eNikshay ID (Person),Column as requested,,Related Case,person,person_id
eNikshay Episode ID,Column as requested,,Primary Case,self,episode_id
Nikshay ID,Column as requested,,Primary Case,self,nikshay_id
Manual Nikshay ID?,Column added,,Primary Case,self,manual_nikshay_id
Name,Column as requested,,Related Case,person,name
Episode Type,Column as requested,,Primary Case,self,episode_type
Date of Diagnosis,Column as requested,,Primary Case,self,date_of_diagnosis
Diagnosing Facility - State,Column moved or unavailable,"This is not available for this table. It could be looked up from the user and facility master tables, using the ""diagnosing facility ID"" as the key/lookup value.",N/A,N/A,N/A
Diagnosing Facility - District,Column moved or unavailable,"This is not available for this table. It could be looked up from the user and facility master tables, using the ""diagnosing facility ID"" as the key/lookup value.",N/A,N/A,N/A
Diagnosing Facility - TU,Column moved or unavailable,"This is not available for this table. It could be looked up from the user and facility master tables, using the ""diagnosing facility ID"" as the key/lookup value.",N/A,N/A,N/A
Diagnosing Facility - PHI,Column moved or unavailable,"This is not available for this table. It could be looked up from the user and facility master tables, using the ""diagnosing facility ID"" as the key/lookup value.",N/A,N/A,N/A
Diagnosing Facility ID,Column added,This is the UUID of the facility in CommCare.,Primary Case,self,diagnosing_facility_id
Site (EP/P),Column as requested,,Related Case,occurrence,disease_classification
EP site,Column as requested,,Related Case,occurrence,site_choice
EP site (Other - Specify),Column added,,Related Case,occurrence,site_detail
Transfer In?,Column as requested,,Primary Case,self,transfer_in
Health Facility for Treatment Initiation- State,Column moved or unavailable,"This is not available for this table. It could be looked up from the user and facility master tables, using the ""treatment initiating facility ID"" as the key/lookup value.",N/A,N/A,N/A
Health Facility for Treatment Initiation- District,Column moved or unavailable,"This is not available for this table. It could be looked up from the user and facility master tables, using the ""treatment initiating facility ID"" as the key/lookup value.",N/A,N/A,N/A
Health Facility for Treatment Initiation- TU,Column moved or unavailable,"This is not available for this table. It could be looked up from the user and facility master tables, using the ""treatment initiating facility ID"" as the key/lookup value.",N/A,N/A,N/A
Health Facility for Treatment Initiation- PHI (Treatment Initiating Facility),Column as requested,This is the UUID of the facility in CommCare.,Primary Case,self,treatment_initiating_facility_id
Current Treating Facility - State,Column moved or unavailable,"This is not available for this table. It could be looked up from the facility master table, using the ""current owner - district"" as the key/lookup value, but will not reflect if the facility hierarchy changed over time (although we don't expect it to ever have changed).",N/A,N/A,N/A
Current Treating Facility - District,Column as requested,This column is only populated if this is an open and active episode,Custom,custom,"if(self.meta.closed = false AND self.is_active = 'yes', person.dto_id, ''))"
Current Treating Facility - District Name,Column added,This column is only populated if this is an open and active episode,Custom,custom,"if(self.meta.closed = false AND self.is_active = 'yes', person.dto_name, ''))"
Current Treating Facility - TU,Column as requested,This column is only populated if this is an open and active episode,Custom,custom,"if(self.meta.closed = false AND self.is_active = 'yes', person.tu_id, ''))"
Current Treating Facility- TU Name,Column added,This column is only populated if this is an open and active episode,Custom,custom,"if(self.meta.closed = false AND self.is_active = 'yes', person.tu_name, ''))"
Current Treating Facility - PHI,Column as requested,This column is only populated if this is an open and active episode,Custom,custom,"if(self.meta.closed = false AND self.is_active = 'yes', person.owner_id, ''))"
Current Treating Facility - PHI Name,Column added,This column is only populated if this is an open and active episode,Custom,custom,"if(self.meta.closed = false AND self.is_active = 'yes', person.phi_name, ''))"
Episode Close Reason (from Remove Person),Column added,"This only represents values if the episode was closed through Remove Person. If it is blank but episode is closed, it is assumed the episode wasn't removed through Remove Person.",Primary Case,self,close_reason
Type of Patient,Column as requested,,Primary Case,self,patient_type_choice
Case Definition,Column as requested,,Primary Case,self,case_definition
Initiated on first line treatment,Column as requested,,Primary Case,self,treatment_initiated
Supported by RNTCP?,Column moved or unavailable,This information was not stored to this data model,N/A,N/A,N/A
Current Treatment status,Column moved or unavailable,"See treatment_status property. For the current treatment status, one can look at a conjunction of the following columns: Initiated on first line treatment, Treatment outcome, Diagnosing Facility ID, Health Facility for Treatment Initiation- PHI (Treatment Initiating Facility) , and Current Treating Facility - PHI",N/A,N/A,N/A
Treatment (Initiation) Status,Column added,This is the programmatic definition of 'treatment status' which is actually treatment initiation status,Primary Case,self,treatment_status
Date of treatment initiation,Column as requested,,Primary Case,self,treatment_initiation_date
Type of treatment adherence,Column as requested,,Primary Case,self,adherence_type_choice
