Column Name,Column Status,Notes,Type,Case Reference,Calculation
eNikshay person UUID,Column as requested,,Related Case,custom,caseid
eNikshay episode UUID,Column as requested,,Related Case,custom,caseid
Organisation,Column as requested,Pull the name corresponding to the UUID,Custom,person,private_sector_organization_id
UATBC beneficiary ID,Column as requested,,Related Case,person,person_id_legacy
eNikshay beneficiary ID,Column as requested,,Related Case,person,person_id
Nikshay ID,Column as requested,,Related Case,episode,nikshay_id
Name of beneficiary,Column as requested,,Related Case,person,name
Beneficiary Mobile Number,Column as requested,,Related Case,person,phone_number
Rx Initiation Date,Column as requested,,Related Case,episode,treatment_initiation_date
Date of Episode creation,Column as requested,,Related Case,episode,opened_date
Rx Initiation Status,Column as requested,,Related Case,episode,treatment_initiation_status
Physical Voucher Number,Column as requested,,Primary Case,self,physical_voucher_number
Test requested date,Column as requested,,Related Case,test,date_ordered
Investigation,Column as requested,,Primary Case,self,investigation_type_name
Specimen,Column as requested,,Related Case,test,site_specimen_name
Purpose of testing,Column as requested,,Related Case,test,purpose_of_test
Reason,Column as requested,Caveat that this is mostly empty,Related Case,test,follow_up_test_reason
Subsidy Amount,Column as requested,,Primary Case,self,amount_initial
Voucher ID,Column as requested,,Primary Case,self,voucher_id
Voucher UUID,Column as requested,,Primary Case,self,caseid
Voucher Generated By Provider ID,Column as requested,,Primary Case,self,voucher_issued_by_login_name
Voucher Generated By Provider Name,Column as requested,,Primary Case,self,voucher_ issued_by_name
Voucher Issue Date,Column as requested,,Primary Case,self,date_issued
Voucher Status,Column as requested,,Primary Case,self,state
Voucher Redeemed By Lab ID,Column as requested,,Primary Case,self,voucher_fulfilled_by_login_name
Voucher redeemed By Lab Name,Column as requested,,Primary Case,self,voucher_fulfilled_by_name
Disbursed Amount,Column as requested,,Primary Case,self,amount_paid
Comment,Column as requested,,Primary Case,self,comment
Date ordered,Column moved or unavailable,Captured in 'Test Requested Date',N/A,N/A,N/A
Result Date,Column as requested,,Related Case,test,date_reported
Test resulted by Lab ID,Column as requested,,Related Case,test,testing_facility_id
Test resulted by Lab Name,Column as requested,,Related Case,test,testing_facility_name
Result,Column as requested,,Related Case,test,result_label
Result Grade,Column added,,Related Case,test,result_grade
