Column Name,Column Status,Notes,Type,Case Reference,Calculation
eNikshay person UUID,Column as requested,,Related Case,custom,person.caseid
eNikshay episode UUID,Column as requested,,Primary Case,self,caseid
Organisation,Column as requested,,Custom,custom,"Pull the 'Private Sector Organization ID' from the owner of the person case; ie, this column will have values 'MJK', 'Alert India' or 'WHP-Patna'"
UATBC beneficiary ID,Column as requested,,Related Case,person,person_id_legacy
eNikshay beneficiary ID,Column as requested,,Related Case,person,person_id
Nikshay ID,Column as requested,,Primary Case,self,nikshay_id
Name of beneficiary,Column as requested,,Related Case,person,name
Beneficiary Mobile Number,Column as requested,,Related Case,person,phone_number
Date of submission of episode details form,Column as requested,,Primary Case,self,opened_date
Date of Diagnosis,Column as requested,,Primary Case,self,date_of_diagnosis
Treatment Start Date,Column as requested,,Primary Case,self,treatment_initiation_date
Basis of Diagnosis,Column as requested,,Primary Case,self,basis_of_diagnosis
Site,Column as requested,,Primary Case,self,site
Treatment Phase,Column as requested,,Primary Case,self,treatment_phase
DST Status,Column as requested,,Primary Case,self,dst_status
HIV Status,Column as requested,,Primary Case,self,hiv_status
Diabetes,Column as requested,,Primary Case,self,diabetes_status
New/Retreatment,Column as requested,,Primary Case,self,new_retreatment
Treatment Regimen,Column as requested,,Primary Case,self,regimen
Weight (in kg),Column as requested,,Primary Case,self,weight
Adherence Tracking Mechanism,Column as requested,,Primary Case,self,adherence_tracking_mechanism
IMEI Number,Column as requested,,Primary Case,self,merm_id
Daily Alarm Time,Column as requested,,Primary Case,self,merm_daily_reminder_time
Treatment Supervisor Name,Column as requested,,Primary Case,self,treatment_supervisor_name
Treatment Supervisor Mobile/Landline Number,Column as requested,,Primary Case,self,treatment_supervisor_phone
Treating Provider Name,Column modified,The treating provider name and ID are combined in one field; eg: Dr. Ashok - 110077,Custom,custom,pull location name corresponding to the 'owner_id' of person case
Treating Provider ID,Column modified,The treating provider name and ID are combined in one field; eg: Dr. Ashok - 110077,N/A,N/A,N/A
Treating Hospital Name,Column modified,The treating hospital name and ID are combined in one field; eg: Neelam Verma - 107026,Primary Case,custom,pull location name corresponding to the 'episode_treating_hospital' on episode case
Treating Hospital ID,Column modified,The treating hospital name and ID are combined in one field; eg: Neelam Verma - 107026,N/A,N/A,N/A
Associated FO Name,Column modified,The treating hospital name and ID are combined in one field; eg: Yasmeen Shaikh - 700166,Primary Case,custom,pull location name corresponding to 'episode_fo' on episode case
Associated FO ID,Column modified,The treating hospital name and ID are combined in one field; eg: Yasmeen Shaikh - 700166,N/A,N/A,N/A
Initiated on C.P.?,Column as requested,,Primary Case,self,cp_initiated
Date of C.P. Intiation,Column as requested,,Primary Case,self,cp_initiation_date
Treatment Outcome,Column as requested,,Primary Case,self,treatment_outcome
Rx Outcome Date,Column as requested,,Primary Case,self,treatment_outcome_date
Rx Outcome Assigned By,Column as requested,,Primary Case,self,rx_outcome_assigned_by_name
Last Modification Date,Column as requested,,Primary Case,custom,self.modified_on
Last Modified by,Column as requested,,Primary Case,custom,self.modified_by
Removed?,Column as requested,,Primary Case,self,closed
