Column Name,Column Status,Notes,Type,Case Reference,Calculation
eNikshay person UUID,Column as requested,,Related Case,custom,caseid
eNikshay episode UUID,Column as requested,,Related Case,custom,caseid
Organisation,Column as requested,Pull the Private Sector Organization ID from the owner of the person case,Custom,custom,person.owner_id
UATBC beneficiary ID,Column as requested,,Related Case,person,person_id_legacy
eNikshay beneficiary ID,Column as requested,,Related Case,person,person_id
Nikshay ID,Column as requested,,Related Case,episode,nikshay_id
Name of beneficiary,Column as requested,,Related Case,person,name
Beneficiary Mobile Number,Column as requested,,Related Case,person,phone_number
Voucher Validated By ID,Column as requested,,Primary Case,self,voucher_fulfilled_by_login_name
Voucher Validated By Name,Column as requested,,Primary Case,self,voucher_fulfilled_by_name
Voucher Validated By Type,Column as requested,"Display calculation to be applied on the case property: ""pcc-chemist"" = ""Chemist"", ""plc"" = ""Lab""",Custom,Self,voucher_fulfilled_by_user_type
Voucher Generated By Provider ID,Column as requested,,Primary Case,Self,voucher_issued_by_login_name
Voucher Generated By Provider Name,Column as requested,,Primary Case,Self,voucher_issued_by_name
Voucher ID,Column as requested,,Primary Case,Self,voucher_id
Voucher Case ID,Column as requested,,Primary Case,Self,caseid
Transaction/Voucher Validation Date,Column as requested,,Primary Case,Self,date_fulfilled
Voucher Status,Column modified,,Primary Case,Self,state
Voucher Validation Mode,Column as requested,Caveat that this will be empty.,Primary Case,Self,validation_mode
Voucher Issued Date,Column as requested,,Primary Case,Self,date_issued
Issued Amount,Column as requested,,Primary Case,Self,amount_initial
Validated Amount (System),Column as requested,,Primary Case,Self,amount_eligible_for_redeemer
Validated Amount (as per chemist),Column as requested,,Primary Case,Self,amount_redeemed_per_chemist
Validated Amount (Marked Up),Column as requested,,Primary Case,Self,amount_fulfilled
Approved Amount,Column as requested,"If the voucher state is 'approved' or 'paid', and this field is empty, the export should populate this field with amount_fulfilled, which is what happened in bets",Custom,custom,amount_approved or amount_fulfilled
Voucher Approval Status,Column as requested,,Primary Case,Self,voucher_approval_status
Approved Date,Column as requested,,Primary Case,Self,date_approved
