Column Name,Column Status,Notes,Type,Case Reference,Calculation
eNikshay person UUID,Column as requested,,Related case,custom,person.caseid
eNikshay episode UUID,Column as requested,,Related case,custom,episode.caseid
Organisation,Column as requested,Pull the name corresponding to the UUID that is stored in the case property mentioned,Custom,person,private_sector_organization_id
UATBC beneficiary ID,Column as requested,,Related case,person,person_id_legacy
eNikshay beneficiary ID,Column as requested,,Related case,person,person_id
Nikshay ID,Column as requested,,Related case,episode,nikshay_id
Type of Registration (Confirmed,Column as requested,,Custom,person,current_episode_type
Name of beneficiary,Column as requested,,Related case,person,name
Beneficiary mobile Number,Column as requested,,Related case,person,phone_number
Test Requested Date,Column as requested,,Primary case,Self,date_ordered
Investigation,Column as requested,,Primary case,Self,investigation_type_name
Specimen,Column as requested,,Primary case,Self,site_specimen_name
Purpose of testing,Column as requested,,Primary case,Self,purpose_of_test
Reason,Column as requested,Caveat that this is mostly empty,Primary case,Self,follow_up_test_reason
Date Reported,Column as requested,,Primary case,Self,date_reported
Lab Name,Column as requested,we need to pull the name corresponding to the UUID,Custom,Self,testing_facility_id
Lab ID,Column as requested,,Primary case,Self,testing_facility_id
Result,Column as requested,,Primary case,Self,result_label
Last Modified Date,Column as requested,,Primary case,Self,last_modified_date
Last Modified By,Column as requested,,Primary case,Self,last_modified_by_user_username
