Column Name,Column Status,Notes,Type,Case Reference,Calculation
eNikshay person UUID,Column as requested,,Related Case,custom,caseid
eNikshay episode UUID,Column as requested,,Related Case,custom,caseid
Organisation,Column as requested,Pull the name corresponding to the UUID,Custom,custom,person.location.private_sector_organization_id
UATBC beneficiary ID,Column as requested,,Related Case,person,person_id_legacy
eNikshay beneficiary ID,Column as requested,,Related Case,person,person_id
Nikshay ID,Column as requested,,Related Case,episode,nikshay_id
Name of beneficiary,Column as requested,,Related Case,person,name
Beneficiary Mobile Number,Column as requested,,Related Case,person,phone_number
Date of Rx. Start,Column as requested,,Related Case,episode,treatment_initiation_date
Date of Adherence,Column as requested,,Primary Case,Self,adherence_date
Dose Taken?,Column modified,"The values it takes are: 'directly_observed_dose', 'missed_dose' or 'missing_data'",Primary Case,Self,adherence_value
Reasons for missed dose,Column moved or unavailable,Not recording this in the case structure,N/A,N/A,N/A
Reason for Unknown Dose,Column moved or unavailable,Not recording this in the case structure,N/A,N/A,N/A
Source of Adherence Info,Column as requested,Tool used to report adherence,Primary Case,Self,adherence_source
Adherence report source,Column added,Who reported the adherence,Primary Case,Self,adherence_report_source
Interim Treatment Outcome,Column as requested,,Related Case,episode,current_interim_outcome
Date of stopped Treatment,Column as requested,,Related Case,episode,date_of_treatment_stoppage
Remarks,Column as requested,,Related Case,episode,episode_info_freetext
