Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names,Keep,Reason
www,mada-linked-test,,,,ymtest,FALSE,
www,jason-test2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,project-space-a1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,project-space-b1,FALSE,
www,test-project-362,,,,,FALSE,
www,co-larimer,,,,,FALSE,
www,chcplus-c-wins,IMPLEMENTATION,CommCare Paused Edition,,,FALSE,
www,seema-kara-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,nj-covid-union,,,,,FALSE,
www,testing-space-3,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,first-project-44,,,,,FALSE,
www,wv-sahel-cameroon,,,,,FALSE,
www,ny-rockland-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,sc-new-project-space,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,qa-transifex-prod,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,TRUE,qa domain
www,dimagi-test-25,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,nj-covid-passaic,,,,,FALSE,
www,ccc-chc-isodaf-2024-25,PRODUCT,CommCare Paused Edition,,,FALSE,
www,test-20190731-linked,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,ny-nassau-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,test-push-caktus,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,co-sjbph,,,,,FALSE,
www,https,,,,,FALSE,
www,co-doc,,,,,FALSE,
www,pmievolve-kenya,IMPLEMENTATION,Grouped Advanced Plan for Abt Associates - Prevention of Malaria,,,FALSE,
www,co-sanjuan,,,,,FALSE,
www,co-import-lpha1,,,,,FALSE,
www,jdlp,NOT_SET,Dimagi Only CommTrack Enterprise Edition,,,FALSE,
www,af-test,NOT_SET,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,cfs-performance-test-ucr,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,1219-investigation,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,rc-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,pmievolve-master,IMPLEMENTATION,CommCare Paused Edition,,"pmievolve-zambia,pmievolve-ethiopia-1,pmievolve-malawi,pmievolve-kenya,pmievolve-ghana,pmievolve-sierra-leone,pmievolve-madagascar,pmievolve-rwanda,pmievolve-uganda,pmievolve-mozambique",FALSE,
www,co-test-lpha1,,,,,FALSE,
www,somalia-vax-delivery,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,ed-citelum,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,ny-putnam-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,co-dev,IMPLEMENTATION,CommCare Paused Edition,True,"https://staging.commcarehq.org/a/covid-co-staging/,co-support,co-staging,co-abt,co-sandbox,co-performance",FALSE,
www,erm-upstream,INTERNAL,qa_erm,True,erm-downstream,FALSE,
www,co-bent,,,,,FALSE,
www,ush-feature-training,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,nj-covid-burlington,,,,,FALSE,
www,upstream-test-domain,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,downstream-test-domain,FALSE,
www,ak-covid19-tracker-load,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,j-146,PRODUCT,CommCare Free Edition,True,,FALSE,
www,la-county-ati,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,ny-oswego-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,gh747-team-ihc,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,c-wins-chc-live,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,co-eagle,,,,,FALSE,
www,ak-training-sandbox,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,geospatial-widget-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,co-abt,IMPLEMENTATION,CommCare Paused Edition,True,,FALSE,
www,jason_howell_test_system,,,,,FALSE,
www,hackett-wood,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,inddex24-dev,SANDBOX,Custom Sandbox Plan for Tufts,,,FALSE,
www,inddex-reports,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,pbf-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,chw-covid-response-team,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,jamaica-vax-dev,SANDBOX,Custom Advanced Plan with ERM (Release Management),True,"jamaica-vaccine,jamaica-vax-training",TRUE,has downstream keep
www,cva-demos,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,inddex-upload-test-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,polio-cameroon,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,True,,TRUE,production domain
www,hungry-hippo-hannah,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,vt-test,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,edss-sandbox,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,ush-migration-c2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,co-carecoordination-perf,SANDBOX,Enterprise Plan for State of Colorado: Capacity and Central Registries,True,,TRUE,has upstream keep
www,ny-schuyler-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,sf-housing-street-teams,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,school-monitoring-test-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,co-staging,IMPLEMENTATION,CommCare Paused Edition,True,,FALSE,
www,ny-saratoga-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,wv-sahel-chad-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,chc-solina,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,co-silverthread,,,,,FALSE,
www,ny-columbia-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,ny-wayne-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,mikesproject,NOT_SET,Dimagi Only CommTrack Enterprise Edition,,,FALSE,
www,ush-migration-a2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,ccc-chc-cssunn-2024-25,IMPLEMENTATION,CommCare Paused Edition,,,FALSE,
www,co-montrose,,,,,FALSE,
www,co-test-lpha2,,,,,FALSE,
www,ny-herkimer-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,sick-cells-cbo-training,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,vt-perf,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,co-weld,,,,,FALSE,
www,inddex,PRODUCT,CommCare Community Edition (With ERM),True,"inddex-bf,inddex-vietnam",TRUE,production domain
www,chantal-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,ccqa,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"ccqa2,av-test,ccqa-downstream",TRUE,qa domain
www,jason-test4,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,ccc-chc-devpronet-2024-25,PRODUCT,CommCare Paused Edition,,,FALSE,
www,nj-covid-bergen,,,,,FALSE,
www,coope,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,abdoul-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,id-cict,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,practice-space-4,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,m2m-training-space,PRODUCT,Grouped Advanced Plan for Mothers to Mothers - Pay Monthly,True,m2m,TRUE,production domain
www,chantal-ush-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,tech-onboarding-day-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,tcb-2022-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,co-park,,,,,FALSE,
www,alafiacomm-prod,PRODUCT,CommCare eCHIS Plan - MoH Benin,True,,TRUE,production domain
www,vectorlink-benin,PRODUCT,CommCare Paused Edition,,,FALSE,
www,nj-covid-gloucester,,,,,FALSE,
www,user-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,cfs-performance-test-ucr,FALSE,
www,uss-workflow-templates,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,kate-pearce-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,co-dolores,,,,,FALSE,
www,cdc-pods-chad-prod,PRODUCT,CommCare Paused Edition,,,FALSE,
www,sandbox-erick,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,hack-your-app,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,nj-covid-hunterdon,,,,,FALSE,
www,ccqa2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,TRUE,qa domain
www,co-garfield,,,,,FALSE,
www,casesearch-split-screen,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,TRUE,qa domain
www,em-sscs,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,shulu-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,dimagi-101,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,polio-mozambique,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,,,FALSE,
www,ct-sravan,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,jamaica-vaccine,IMPLEMENTATION,Custom Advanced Plan with ERM (Release Management),True,,TRUE,production domain
www,wm-location-import-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,TRUE,has upstream keep
www,vectorlink-burkina-faso,PRODUCT,CommCare Paused Edition,,,FALSE,
www,campagne-niger-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,,campagne-niger,FALSE,
www,co-northeast,,,,,FALSE,
www,lauren-eby-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,lauren-eby,FALSE,
www,nj-covid-staging,,,,,FALSE,
www,lambdentest-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,"sandbox-5,calc-practice-challenge",FALSE,
www,co-tchd,,,,,FALSE,
www,co-adams,,,,,FALSE,
www,2fa-kai-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,us-monkeypox-template,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"us-monkeypox-qa,us-monkeypox-sandbox,tc-monkeypox-staging,ak-monkeypox-staging,us-monkeypox-demo",FALSE,
www,ny-cortland-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,,FALSE,
www,mriese,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,campagne-mali,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,,,FALSE,
www,michel-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,experimentations-ma,FALSE,
www,corpora,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,ctsimssql,FALSE,
www,ethan-test-stuff,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,bha-location-redesign-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,TRUE,has upstream keep
www,kk-test-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,iita-fcms-nigeria,NOT_SET,CommCare Paused Edition,,franks-test,FALSE,
www,connect-2,INTERNAL,Enterprise Plan for Connect - test spaces,,"ccc-nigeria-experiments,ccc-nigeria-testing,ccc-mozambique,connect-testing,connect-experiments",FALSE,
www,co-lincoln,,,,,FALSE,
www,inddex-test-perf,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,nt-test-2020,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,navajo-covid19-loadtestin,PRODUCT,CommCare Paused Edition,,,FALSE,
www,sahel-prep,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,farid-test,,,,https://staging.commcarehq.org/a/farid-remote-test/,FALSE,
www,inddex-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,TRUE,has upstream keep
www,nj-covid-somerset,,,,,FALSE,
www,ny-orange-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,teste-project-435,,,,,FALSE,
www,initial-test-project,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,mruga-sample-apps,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,smk,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,ny-statewide-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,ccc-chc-master,IMPLEMENTATION,Enterprise Plan for CommCare Connect,,"ccc-chc-ahti-2024-25,ccc-chc-ruwoyd-2024-25,ccc-chc-henike,ccc-chc-rwyd-2024-25,ccc-chc-afdic,ccc-chc-infinitym-2024-25,ccc-chc-isodaf-2024-25,ccc-chc-jhf-2024-25,ccc-chc-ppfnnew,ccc-chc-cefdrc,ccc-chc-jesuislenfant,ccc-chc-apsvcar,ccc-chc-cnrsc,mapping-experiments,ccc-chc-focus1000sl,ccc-chc-chwcn,ccc-chc-munafampatiesl,ccc-chc-ppf-2024-25,ccc-chc-kyetumeug,ccc-chc-chauganda,ccc-chc-zegcawis-2024-25,ccc-chc-cowacdi-2024-25,ccc-chc-eha-c-2024-25",FALSE,
www,ny-uat-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,,FALSE,
www,ak-monkeypox-staging,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,nj-covid-middlesex,,,,,FALSE,
www,ccc-chc-hhgsf-2024-25,IMPLEMENTATION,CommCare Paused Edition,,,FALSE,
www,ny-integrations-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,,FALSE,
www,co-broomfield,,,,,FALSE,
www,zandre-engelbrecht-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,co-fremont,,,,,FALSE,
www,inddex-multi-vn,PRODUCT,CommCare Paused Plan,,,FALSE,
www,colorado-xpath-training,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,bh-mat-registry,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,TRUE,has upstream keep
www,supporters-ok-sickle-cell,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,co-arapahoe,,,,,FALSE,
www,second-project-6,,,,,FALSE,
www,kartika-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,co-summit,,,,,FALSE,
www,kai-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,ush-migration,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"ush-cjw-2,ush-cjw-1,ush-migration-transfer",FALSE,
www,ccqa2-2,,,,,TRUE,qa domain
www,philly-covid19-intqa,,,,,FALSE,
www,woody-meade-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,TRUE,has upstream keep
www,co-gunnison,,,,,FALSE,
www,addison-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,downstream-domain,FALSE,
www,covid-nj-staging,,,,,FALSE,
www,nj-covid-sussex,,,,,FALSE,
www,wv-sahel-nigeria-dev,PRODUCT,CommCare Paused Edition,True,wv-sahel-nigeria,TRUE,has downstream keep
www,wv-sahel-car-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
