Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names
production,mada-linked-test,,,,ymtest
production,jason-test2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,project-space-a1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,project-space-b1
production,test-project-362,,,,
production,co-larimer,,,,
production,chcplus-c-wins,IMPLEMENTATION,CommCare Paused Edition,,
production,seema-kara-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,nj-covid-union,,,,
production,testing-space-3,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,first-project-44,,,,
production,wv-sahel-cameroon,,,,
production,ny-rockland-cdcms,PRODUCT,CommCare Paused Edition,True,
production,sc-new-project-space,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,qa-transifex-prod,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,dimagi-test-25,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,nj-covid-passaic,,,,
production,ccc-chc-isodaf-2024-25,PRODUCT,CommCare Paused Edition,,
production,test-20190731-linked,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ny-nassau-cdcms,PRODUCT,CommCare Paused Edition,True,
production,test-push-caktus,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-sjbph,,,,
production,https,,,,
production,co-doc,,,,
production,pmievolve-kenya,IMPLEMENTATION,Grouped Advanced Plan for Abt Associates - Prevention of Malaria,,
production,co-sanjuan,,,,
production,co-import-lpha1,,,,
production,jdlp,NOT_SET,Dimagi Only CommTrack Enterprise Edition,,
production,af-test,NOT_SET,Dimagi Only CommCare Enterprise Edition,,
production,cfs-performance-test-ucr,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,1219-investigation,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,rc-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,pmievolve-master,IMPLEMENTATION,CommCare Paused Edition,,"pmievolve-zambia,pmievolve-ethiopia-1,pmievolve-malawi,pmievolve-kenya,pmievolve-ghana,pmievolve-sierra-leone,pmievolve-madagascar,pmievolve-rwanda,pmievolve-uganda,pmievolve-mozambique"
production,co-test-lpha1,,,,
production,somalia-vax-delivery,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ed-citelum,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ny-putnam-cdcms,PRODUCT,CommCare Paused Edition,True,
production,co-dev,IMPLEMENTATION,CommCare Paused Edition,True,"https://staging.commcarehq.org/a/covid-co-staging/,co-support,co-staging,co-abt,co-sandbox,co-performance"
production,erm-upstream,INTERNAL,qa_erm,True,erm-downstream
production,co-bent,,,,
production,ush-feature-training,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,nj-covid-burlington,,,,
production,upstream-test-domain,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,downstream-test-domain
production,ak-covid19-tracker-load,PRODUCT,CommCare Paused Edition,True,
production,j-146,PRODUCT,CommCare Free Edition,True,
production,la-county-ati,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ny-oswego-cdcms,PRODUCT,CommCare Paused Edition,True,
production,gh747-team-ihc,PRODUCT,CommCare Paused Edition,True,
production,c-wins-chc-live,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-eagle,,,,
production,ak-training-sandbox,PRODUCT,CommCare Paused Edition,True,
production,geospatial-widget-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-abt,IMPLEMENTATION,CommCare Paused Edition,True,
production,jason_howell_test_system,,,,
production,hackett-wood,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
