Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names
staging,mattnyinvestigation,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,akj,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
staging,qa-erm-v1-downstream1,IMPLEMENTATION,QA-ERM-V1 Software Plan,True,
staging,qa-load-30k,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,erm-v1-new,IMPLEMENTATION,QA-ERM-V1 Software Plan,True,
staging,nitin-commcare,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,test-project-4,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,mapson
staging,nhooper,PRODUCT,Dimagi Only CommCare Enterprise Edition,,"http://5ec0ca53.skybroadband.com:8000/a/demo/,ap-test-project"
staging,surbhi-downstream,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,data-registry-scrap,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,commtrack-qa-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,vt-staging,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,bosco,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"http://localhost:8000/a/bosco-remote,http://staging.commcarehq.org/a/bosco-remote,beautiful-grotesque,in-the-silence,acoffeemachineinanoffice"
staging,us-covid-upstream,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,downgrade9,NOT_SET,CommCare Community Edition (With ERM),,
staging,dataregistry,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"dataregistry1,dataregistry2"
staging,project-space-3d,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,pro-project,NOT_SET,CommCare Paused Edition,,
staging,ben-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"report-copy,third-space,fourth-space"
staging,first-project-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,polar-bears-downstream,,,,
staging,qa-mrm-custom-downstream1,INTERNAL,Lite Release Management,,
staging,erm-migration-d2,IMPLEMENTATION,Software_Plan_D,False,
staging,webuserrestore,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,covidsms-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,qa-mrm-custom-upstream,INTERNAL,Lite Release Management,False,"qa-erm-v1-downstream2,qa-mrm-custom-downstream2"
staging,test-staging-project,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,grogu-downstream,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,charlsmit-testy,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,co-carecoordination-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,bha-mini-test
staging,us-covid-downstream,,,,
staging,staging-test-hildebrand,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,qa-load-50k,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,ush-cjw-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,grogu,NOT_SET,CommCare Paused Edition,True,"grogu-downstrean2,grogu-downstream3,grogu-downstream"
staging,project-space-b,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,florida-covid-jax,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,push-content,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,erm-migration-d1,IMPLEMENTATION,Software_Plan_D,False,"erm-migration-d2,erm-migration-d4,erm-migration-d3"
staging,qa-load-10k,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,shubhamgoyaltest,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,staging-project,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,ccqa-mk,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
